Row 1: UNDP Digital Transformation Project | Deliverable 1 I Scoping Report for Malaysia
Row 2: Baseline view of the AI and DPI ecosystem in Malaysia
Row 4: # | Heading | ## | Sub-Heading | ### | Parameters
Row 67:  |  |  |  | 4.3.2 | Institutional fragmentation and silos
Row 68:  |  |  |  | 4.3.3 | Capacity constraints
Row 69:  |  |  |  | 4.3.4 | Malpractices (Corruption), lack of accountability measures
Row 70:  |  |  |  | 4.3.5 | Procurement processes
Row 71:  |  | 4.4 | Risks - Social | 4.4.1 | Digital exclusion and inequality
Row 72:  |  |  |  | 4.4.2 | Privacy violations and surveillance concerns
Row 73:  |  | 4.5 | Risks - Political Economy risks | 4.5.1 | Political instability or transitions
Row 74:  |  |  |  | 4.5.2 | Lack of sustained commitment
Row 75:  |  | 4.6 | Risks - Financial | 4.6.1 | Insufficient funding 
Row 76:  |  |  |  | 4.6.2 | Dependence on external financing
Row 77:  |  |  |  | 4.6.3 | High operational costs
Row 78:  |  |  |  | 4.6.4 | Challenges in revenue generation etc
Row 79:  |  | 4.7 | Entry points for UNDP offices | 4.7.1 | Policy advisory
Row 80:  |  |  |  | 4.7.2 | Capacity building
Row 81:  |  |  |  | 4.7.3 | Convening and facilitation roles, coalition building 
Row 82:  |  |  |  | 4.7.4 | Evidence generation and feasibility studies
Row 83:  |  |  |  | 4.7.5 | AI/DPI use case development 
Row 84:  |  |  |  | 4.7.6 | Co-design of digital transformation programs
Row 85: 5 | Funding landscape | 5.1 | Multilateral development banks | 5.1.1 | ADB, World Bank, Other MDBs:  - Current DPI and AI projects - Approved and pipeline financing - Stra
Row 86:  |  | 5.2 | Bilateral development banks | 5.2.1 | Bilateral development partners:  - Major donors active in the country  - Geographic and Sectoral pre
Row 87:  |  | 5.3 | Philanthropic and Funding Organisations | 5.3.1 | -Foundations active in digital development in the country  -Grant making priorities and cycles
Row 88:  |  | 5.4 | Private Organisations | 5.4.1 | Private orgs
Row 89:  |  | 5.5 | Government budget allocation | 5.5.1 | -National digital transformation budget -Ministry/agency-specific allocations etc.
Row 90: 6 | Partnership and engagement opportunities for UNDP | 6.1 | Strategic opportunities | 6.1.1 | Government partnerships?
Row 91:  |  |  |  |  | Coordination and partnership with other UN agencies?
Row 92:  |  |  |  |  | Multi-stakeholder partnership? 
Row 93:  |  |  |  |  | University collaboration, joint research and evaluations?
Row 94:  |  |  |  |  | Knowledge exchange platform/DPI stewardship ?
Row 95: 7 | Synthesis and recommendation 
